id	authId	authSource	name
KPE-915928	915928	KPE	Caporale, Giambattista
GND-118781227	118781227	GND	Madvig, Johan N.
GND-116566655	116566655	GND	Gerhard, Emilie
GND-116417021	116417021	GND	Braun, Georg Christian
GND-1127078038	1127078038	GND	Ruspi, Carlo
KPE-897245	897245	KPE	Ingram, Richard
GND-119360640	119360640	GND	Bergau, Rudolf
GND-118841009	118841009	GND	Carpani, Giuseppe
GND-11727335X	11727335X	GND	Ternite, Wilhelm
GND-116947969	116947969	GND	Zacher, Ernst Julius August
GND-11684938X	11684938X	GND	Schnyder von Wartensee, Franz Xaver
GND-116216948	116216948	GND	Böcking, Eduard
KPE-203494	203494	KPE	Brockhaus, Heinrich
GND-104576857X	104576857X	GND	Kortegarn, Arthur
GND-118547739	118547739	GND	Hegel, Georg Wilhelm Friedrich
GND-143691430	143691430	GND	Moschini, Giannantonio
GND-118608533	118608533	GND	Schmeller, Johann Andreas
GND-118824775	118824775	GND	Böttiger, Carl August
GND-128772646	128772646	GND	Borghese-Aldobrandini, Francesco
GND-129985554	129985554	GND	Marsigli, Filippo
GND-116922850	116922850	GND	Schorn, Ludwig
GND-118596713	118596713	GND	Prokesch von Osten, Anton
GND-116455373	116455373	GND	Hansen, August
GND-118625063	118625063	GND	Uhland, Ludwig
GND-116839503	116839503	GND	Schneidewin, Friedrich Wilhelm
GND-119258056	119258056	GND	Mai, Angelo
GND-116797266	116797266	GND	Friedländer, Julius
GND-104359714	104359714	GND	Rühs, Friedrich
GND-1145314643	1145314643	GND	Galleffi, Pietro Francesco
GND-116141514	116141514	GND	Keil, Karl
GND-116114630	116114630	GND	Bellermann, Christian Friedrich
GND-117629316	117629316	GND	Siegert, August
KPE-892552	892552	KPE	de Chabert, Wilhelm
GND-116288272	116288272	GND	Aloe, Stanislas d'
KPE-914825	914825	KPE	Bellotti, Pasquale Benedetto
GND-118541951	118541951	GND	Gregorovius, Ferdinand
GND-117014079	117014079	GND	Lindau, August Ferdinand
KPE-902102	902102	KPE	Guidi, Silvestro
GND-1155196848	1155196848	GND	Selvaggi, Gaspare
GND-119429713	119429713	GND	Canina, Luigi
GND-1055088938	1055088938	GND	Bianconi, Girolamo
GND-116904879	116904879	GND	Mercklin, Ludwig
